ulasan,sentiment_label
Suka dan ga error bagus 👍😍,positive
"Di update dong film nya , isinya semua film lama yang sudah di tonton, kita bayar loh perbulannya , tapi filmnya hanya itu saja",negative
"Gokil sih baru juga nyoba daftar langganan sebulan, eh malah langsung kecewa karena pembayarannya gak sesuai. Harga yg tertera untuk berlangganan satu bulan itu 39 ribu tapi kenapa pulsa saya dipotong nya lebih dari 39 ribu ya? Ini bukan masalah uang kecil besarnya, tapi tentang kepercayaan konsumen pada developer yg menyediakan layanan",positive
mantap,positive
Bagus tapi sayang gapernah up film terbaru sama sekali,negative
Sering eror,negative
Terus Sukses dan makin cakepp disneyyy+hotstar 🔥,positive
Frozen,positive
Susah log in karena kode OTP lama banget masuknya,negative
"Kenapa sih kode otp ga masuk2? Aneh,padahal aplikasi lain masuk2 aja.. Melalui panggilan juga sama aja,ga bisa2 Untung langganan nya bonusan dari app provider,kalo sengaja bayar rugi banget..",negative
Bintang.,positive
"Ini gimana sih log in aja susah banget, dari developernya ga gubris sama sekali percuma dong... Buruk sih aplikasinya kalo gini.. Gaberguna jadinya. Aneh",negative
gamenya tidak bisa sms,positive
Film wakanda forevernya gk bisa diputar,negative
Segala koneksi sudah dicoba tetap gagal terhubung. Koleksi hiburannya kurang baru. Sepertinya bangkrut,negative
Kenapa sekarang butuh upgrade untuk nonton??? Bisa kerja ga kalian ini ??? Bikin saya uninstall saja,positive
"Untuk film nya udh bagus dan lumayan murah juga, namun ada satu yang menurut saya itu sangat mengganggu, yaitu saat kita akan nonton tiba tiba handphone saya jadi frezze dan jadi mati sendiri",negative
Good,positive
Knp ga bisa liat mandalorian se 3 ya?,positive
"Disney hotstar versi web kenapa lambat ya? Saya tes di tablet windows saya barengan sama di HP, yg di HP aman ga lambat, tp yg di versi web lambat dan pecah. Full HD nya pecah seperti low quality. Tolong di cek. Thanks",positive
Udaj Di Un instal masih aja ada Notif Suruh update metode pembayaran hadehh,positive
Aplikasi berjalan dengan sangat baik. Saran yang dapat diberikan adalah menambahkan fitur Live TV sehingga tidak perlu bingung memilih tontonan.,positive
"Suka ama disney Tp pas nonton acara wwe Itu komentator si doni dan si dona bisa ga sih disuruh diam aja?!! Menyampah banget,,sumpah,jadi ga seru acaranya,, Please Komentatornya yg origin aja,,doni and dona bikin pusing tau ga??!!",negative
Subtitle sering hilang atau terlambat. Mohon diperbaiki. Bukan masalah device atau imternetnya krn di platform streaming lain lancar. Selebihnya sudah bagus.,positive
Login ke tv nya susah bgt mau dapetin otp aja ga bisa bisa,negative
"Filmnya oke, update terus filmnya ya,",positive
Pemakaian untuk paket kuota nya terlalu besar,positive
Di tv ngelag sudah direfresh tetap ngelag padahal sudah langganan,positive
Disney lagi kenapa ? Kok ga mau ngeplay ? Selalu PL-1001 .!!!! Whats going on here..!!!???,positive
Nggih,negative
Halaaah berbayar tapi film2 tuaaaaa semuaaa tuaaaa film tahun 80 disediakan untuk tontonan tahun ini. Payaaah mendingan idlix laah the best everlast,positive
Kirain gratis!!!,positive
Ada TFFAMLIY gak ya?,negative
"Jaringan udah bagus, nonton di platform lain lancar"" aja, tapi di disney malah loading terus",positive
"Ini sih apk sangat luar biasa dari pada nonton d bioskop mending nonton di Disney hotstar siapkan hendset yg bagus luar biasa bagus nya film"" ok",positive
PADAHAL UDAH DIHAPUS & BERHENTI LANGGANAN KOK MASIH NYEDOT LAGI KE DANA SIH? TOLONG DONG GW UDAH LAMA HAPUS + BERHENTI LANGGANAN LOH,positive
Nmm,positive
Avatar 2 dong min🙏,positive
Sering terjadi E-1001 dan sangat mengganggu. Saya sudah coba berbagai tutorial perbaikan di YouTube. Tapi tidak ada perubahan. Sangat membosankan🤦,negative
Ga bisa login,positive
Saya sdh bayar langganan utk 1 tahun tapi setiap mau nonton muncul option continue utk berlangganan padahal notif lanjutannya anda sudah berlangganan. Akhirnya muncul notif sistem error coba ulangi beberapa saat lagim sdh diulang2 tapi tetap sama. Gimana dong,negative
Apaan mau login ga ada kode verifikasi nya gith jga berlangganan,negative
Film nya lama banget Update jadi agak males perpanjang langanan,negative
"Sering terjadi muncul tampilan: ""kesalahan memutar konten ini karena masalah DRM. silahkan coba lagi. (PL-1206)"". Harus sering di bersihkan cache lalu di restart ulang ponselnya, setiap muncul tampilan tersebut.",positive
Udah langganan malah eror terus gak bisa nonton sama sekali,negative
"Suka sih sama disney+, cuman yang membuat saya kecewa adalah ketika saya mendownload film dan mencoba untuk melihat hasil download an saya malah nge freeze, film nya loadinggg teruss. Ga habis thingking, mana download an nya banyak lagi, Padahal jaringan bagus. Tolong diperbaiki lagi",negative
Bagus tapi kadang suka ngeleg,positive
"UNTUK LOGIN SAJA SUSAH SEKALI, SAYA SIH TIDAK MASALAH LOGIN MENGGUNAKAN KODE OTP, YANG BERMASALAH ADALAH KODE OTP TIDAK MUNCUL2, SUDAH BEBERAPA HARI SAYA MENCOBA, KODE OTP TIDAK ADA SAMA SEKALI, BAIK LEWAT SMS ATAUPUN TELFON!! TOLONG DI PERBAIKI!!",negative
Kenapa erorr terus??rugi donk berlangganan klo gini,negative
Paan sih ajg berlangganan mulu kntol Emang ny hrus berlangganan dlu giti bru bisa nonton?! Gila sih,negative
"Error mulu PL 1206 lah, PL 1101 lah apaan lagi kaya gitu. Aneh",negative
"Padahal mau berlangganan tpi susah,, kode otp kg dikirim kirim,. Makanya buat kantor di indo jangan dari singapur",negative
"Mau coba,kalau bangus aplikasi aku kasih bintang 5",positive
Banyak yang di potong jadi saat nonton kurang puas,negative
Aplikasi nya bagus. Dengan harga langganan yang sangat murah. Dan dengan aplikasi ini saya tidak perlu ke bioskop jika ingin menonton series MCU. Saran saya di tambahkan fitur untuk menyimpan film yang sudah di download agar bisa di simpan di Eksternal/Kartu memori.,positive
Susah banget buat login,negative
"Apk gagal Udh beli paket ny, log in malah ga bs. Apk parah",negative
Bagus..banyak tayangan yang menghibur,positive
bagus,positive
Diperbaiki segera! Mau login susah!,negative
"Mohon maaf ini gimana ya, saya mau berlangganan mau log in aja susah banget gk di kirimin kode otp nya",negative
"now disney hotstar there is a problem what ya until login in the computer browser is not hit, whereas previously hit login on two devices now can not",positive
Jelek. Gabisa login,negative
Minta kode doank seabad anj,positive
"susah login,ga bisa bisa loginya",negative
"Coba langganan 1 bulan filmnya tidak bisa putar,,,,,,gman nie solusinya,,,,",positive
Buat masuk ke aplikasi susah kode otp sering tidak muncul,negative
"auto play ke film berikutnya sangat merugikan, coba dikasih fitur buat menonaktifkan autoplay ke film berikutnya. terimakasih",positive
"Ini kenapa jadi nge freeze ngelag trus pas nonton,... Udh di hpus download ulang2 masih gtu aja... Benerin lah wooy...",negative
Aplikasinya ngk bagus sumpah,negative
"Kenapa saya tidak dapat kode verifikasi ya, sms telepon tidak ada yang masuk kode verifikasi nya",positive
Knpa gabisa pake wifi ya tadinya lancar tpi skrng gabisa,positive
Ini kenapa ga bisa di puter sih film nya. Percuma berlanggan kalo unjung2nya ga bisa di tonton. Tolong segera perbaiki,negative
"Aplikasi error mulu, gak bisa bayar... padahal mau berlangganan. Uninstall deh jadinya",negative
Berlanganan dipotong tapi ga bisa log in,negative
"Bgst, film ga bisa diputar, nge freeze terus. Bolak balik di uninstall tetap gitu terus padahal jaringan bagus. Asw",positive
Eror trussssssss,negative
"Udah langganan sebulan di coba berkali2 otp nya gak ada sms, udh coba berkali2 sampe cek nomor berkali2 takut salah padahal udah bener,",negative
"Tidak bisa login. Tidak mendapatkan OTP via SMS, padahal sudah beli paket resminya",positive
Tidak menerima OTP jadi tidak bisa login,positive
Sangat bagus,positive
gak bisa login karena kode OTP gak pernah terima walau berkali kali di coba dan mengikuti saran helpdesk pada QA,positive
Boleh juga tapi gak ada di yutub,positive
"Tolong update upin dan ipin musim 3,8,9,15 dan 16,tolong tambahin film upin ipin geng pengembaraan bermula dan jeng jeng jeng audio indonesia,serta boboiboy musim 1-3 dan boboiboy galaxy tambahin dong dan bahasa indonesia audionya,boboiboy movie 1 dan 2 audio indonesia. Tolong diperbaiki. Tulisannya solething went wrong. Malah habisin kuota saya",positive
AOT ada episode baru bakal diupdate gk? Percuma nih udh langganan,positive
